"TAX","Revenue category","GOV","Level of government","YEA","Year","Value","Flag Codes","Flags"
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","2012","2012",88653.178,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","2013","2013",125110.857,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","2014","2014",129615.139,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","2015","2015",155122.892,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","2016","2016",176538.134,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","2017","2017",210107.712,,
"1200","1200 Taxes on income, profits and capital gains of corporates","NES","Total","2018","2018",253164.932,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","1996","1996",31400,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","1997","1997",37731,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","1998","1998",32966.641,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","1999","1999",63459.9,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2000","2000",76710.2,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2001","2001",64164.3,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2002","2002",70804.7,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2003","2003",76203,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2004","2004",128701,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2005","2005",164476.688,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2006","2006",169061,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2007","2007",207292.726,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2008","2008",279775.381,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2009","2009",347397.1,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2010","2010",397351.9,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2011","2011",443149.906,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2012","2012",345510,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2013","2013",459200,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2014","2014",421820.807,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2015","2015",374600,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2016","2016",339335.821,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2017","2017",359730.779,,
"NTR_A","Non-tax revenue: Grants","FED","Federal or Central government","2018","2018",398685.573,,
"5220","5220 Non-recurrent taxes on use of goods and perform activities","FED","Federal or Central government","1996","1996",0,,
"5220","5220 Non-recurrent taxes on use of goods and perform activities","FED","Federal or Central government","1997","1997",0,,
"5220","5220 Non-recurrent taxes on use of goods and perform activities","FED","Federal or Central government","1998","1998",0,,
"5220","5220 Non-recurrent taxes on use of goods and perform activities","FED","Federal or Central government","1999","1999",0,,
"5220","5220 Non-recurrent taxes on use of goods and perform activities","FED","Federal or Central government","2000","2000",0,,
"5220","5220 Non-recurrent taxes on use of goods and perform activities","FED","Federal or Central government","2001","2001",0,,
"5220","5220 Non-recurrent taxes on use of goods and perform activities","FED","Federal or Central government","2002","2002",0,,
"5220","5220 Non-recurrent taxes on use of goods and perform activities","FED","Federal or Central government","2003","2003",0,,
"5220","5220 Non-recurrent taxes on use of goods and perform activities","FED","Federal or Central government","2004","2004",0,,
"5220","5220 Non-recurrent taxes on use of goods and perform activities","FED","Federal or Central government","2005","2005",0,,
"5220","5220 Non-recurrent taxes on use of goods and perform activities","FED","Federal or Central government","2006","2006",0,,
"5220","5220 Non-recurrent taxes on use of goods and perform activities","FED","Federal or Central government","2007","2007",0,,
"5220","5220 Non-recurrent taxes on use of goods and perform activities","FED","Federal or Central government","2008","2008",0,,
"5220","5220 Non-recurrent taxes on use of goods and perform activities","FED","Federal or Central government","2009","2009",0,,
"5220","5220 Non-recurrent taxes on use of goods and perform activities","FED","Federal or Central government","2010","2010",0,,
"5220","5220 Non-recurrent taxes on use of goods and perform activities","FED","Federal or Central government","2011","2011",0,,
"5220","5220 Non-recurrent taxes on use of goods and perform activities","FED","Federal or Central government","2012","2012",0,,
"5220","5220 Non-recurrent taxes on use of goods and perform activities","FED","Federal or Central government","2013","2013",0,,
"5220","5220 Non-recurrent taxes on use of goods and perform activities","FED","Federal or Central government","2014","2014",0,,
"5220","5220 Non-recurrent taxes on use of goods and perform activities","FED","Federal or Central government","2015","2015",0,,
"5220","5220 Non-recurrent taxes on use of goods and perform activities","FED","Federal or Central government","2016","2016",0,,
"5220","5220 Non-recurrent taxes on use of goods and perform activities","FED","Federal or Central government","2017","2017",0,,
"5220","5220 Non-recurrent taxes on use of goods and perform activities","FED","Federal or Central government","2018","2018",0,,
"2110","2110 On a payroll basis of employees SSC","SOCSEC","Social Security Funds","1996","1996",458.63,,
"2110","2110 On a payroll basis of employees SSC","SOCSEC","Social Security Funds","1997","1997",717.42,,
"2110","2110 On a payroll basis of employees SSC","SOCSEC","Social Security Funds","1998","1998",926.533,,
"2110","2110 On a payroll basis of employees SSC","SOCSEC","Social Security Funds","1999","1999",1095.789,,
"2110","2110 On a payroll basis of employees SSC","SOCSEC","Social Security Funds","2000","2000",1282.623,,
"2110","2110 On a payroll basis of employees SSC","SOCSEC","Social Security Funds","2001","2001",1425.059,,
"2110","2110 On a payroll basis of employees SSC","SOCSEC","Social Security Funds","2002","2002",1609.854,,
"2110","2110 On a payroll basis of employees SSC","SOCSEC","Social Security Funds","2003","2003",2194.233,,
"2110","2110 On a payroll basis of employees SSC","SOCSEC","Social Security Funds","2004","2004",4047.537,,
"2110","2110 On a payroll basis of employees SSC","SOCSEC","Social Security Funds","2005","2005",4493.029,,
"2110","2110 On a payroll basis of employees SSC","SOCSEC","Social Security Funds","2006","2006",4276.831,,
"2110","2110 On a payroll basis of employees SSC","SOCSEC","Social Security Funds","2007","2007",6226.904,,
"2110","2110 On a payroll basis of employees SSC","SOCSEC","Social Security Funds","2008","2008",8716.726,,
"2110","2110 On a payroll basis of employees SSC","SOCSEC","Social Security Funds","2009","2009",9651.527,,
"2110","2110 On a payroll basis of employees SSC","SOCSEC","Social Security Funds","2010","2010",10586.328,,
"2110","2110 On a payroll basis of employees SSC","SOCSEC","Social Security Funds","2011","2011",13361.266,,
"2110","2110 On a payroll basis of employees SSC","SOCSEC","Social Security Funds","2012","2012",16081.438,,
"2110","2110 On a payroll basis of employees SSC","SOCSEC","Social Security Funds","2013","2013",19918.184,,
"2110","2110 On a payroll basis of employees SSC","SOCSEC","Social Security Funds","2014","2014",20820.486,,
"2110","2110 On a payroll basis of employees SSC","SOCSEC","Social Security Funds","2015","2015",22379.122,,
"2110","2110 On a payroll basis of employees SSC","SOCSEC","Social Security Funds","2016","2016",28014.418,,
"2110","2110 On a payroll basis of employees SSC","SOCSEC","Social Security Funds","2017","2017",28082.062,,
"2110","2110 On a payroll basis of employees SSC","SOCSEC","Social Security Funds","2018","2018",31249.236,,
"4000","4000 Taxes on property","SOCSEC","Social Security Funds","1996","1996",0,,
"4000","4000 Taxes on property","SOCSEC","Social Security Funds","1997","1997",0,,
"4000","4000 Taxes on property","SOCSEC","Social Security Funds","1998","1998",0,,
"4000","4000 Taxes on property","SOCSEC","Social Security Funds","1999","1999",0,,
"4000","4000 Taxes on property","SOCSEC","Social Security Funds","2000","2000",0,,
"4000","4000 Taxes on property","SOCSEC","Social Security Funds","2001","2001",0,,
"4000","4000 Taxes on property","SOCSEC","Social Security Funds","2002","2002",0,,
"4000","4000 Taxes on property","SOCSEC","Social Security Funds","2003","2003",0,,
"4000","4000 Taxes on property","SOCSEC","Social Security Funds","2004","2004",0,,
"4000","4000 Taxes on property","SOCSEC","Social Security Funds","2005","2005",0,,
"4000","4000 Taxes on property","SOCSEC","Social Security Funds","2006","2006",0,,
"4000","4000 Taxes on property","SOCSEC","Social Security Funds","2007","2007",0,,
"4000","4000 Taxes on property","SOCSEC","Social Security Funds","2008","2008",0,,
"4000","4000 Taxes on property","SOCSEC","Social Security Funds","2009","2009",0,,
"4000","4000 Taxes on property","SOCSEC","Social Security Funds","2010","2010",0,,
"4000","4000 Taxes on property","SOCSEC","Social Security Funds","2011","2011",0,,
"4000","4000 Taxes on property","SOCSEC","Social Security Funds","2012","2012",0,,
"4000","4000 Taxes on property","SOCSEC","Social Security Funds","2013","2013",0,,
"4000","4000 Taxes on property","SOCSEC","Social Security Funds","2014","2014",0,,
"4000","4000 Taxes on property","SOCSEC","Social Security Funds","2015","2015",0,,
"4000","4000 Taxes on property","SOCSEC","Social Security Funds","2016","2016",0,,
"4000","4000 Taxes on property","SOCSEC","Social Security Funds","2017","2017",0,,
"4000","4000 Taxes on property","SOCSEC","Social Security Funds","2018","2018",0,,
"5212","5212 Recurrent taxes paid by others: motor vehicles","NES","Total","1996","1996",0,,
"5212","5212 Recurrent taxes paid by others: motor vehicles","NES","Total","1997","1997",0,,
"5212","5212 Recurrent taxes paid by others: motor vehicles","NES","Total","1998","1998",0,,
"5212","5212 Recurrent taxes paid by others: motor vehicles","NES","Total","1999","1999",0,,
"5212","5212 Recurrent taxes paid by others: motor vehicles","NES","Total","2000","2000",0,,
"5212","5212 Recurrent taxes paid by others: motor vehicles","NES","Total","2001","2001",0,,
"5212","5212 Recurrent taxes paid by others: motor vehicles","NES","Total","2002","2002",0,,
"5212","5212 Recurrent taxes paid by others: motor vehicles","NES","Total","2003","2003",0,,
"5212","5212 Recurrent taxes paid by others: motor vehicles","NES","Total","2004","2004",0,,
"5212","5212 Recurrent taxes paid by others: motor vehicles","NES","Total","2005","2005",0,,
"5212","5212 Recurrent taxes paid by others: motor vehicles","NES","Total","2006","2006",0,,
"5212","5212 Recurrent taxes paid by others: motor vehicles","NES","Total","2007","2007",0,,
"5212","5212 Recurrent taxes paid by others: motor vehicles","NES","Total","2008","2008",0,,
"5212","5212 Recurrent taxes paid by others: motor vehicles","NES","Total","2009","2009",0,,
"5212","5212 Recurrent taxes paid by others: motor vehicles","NES","Total","2010","2010",0,,
"5212","5212 Recurrent taxes paid by others: motor vehicles","NES","Total","2011","2011",0,,
"5212","5212 Recurrent taxes paid by others: motor vehicles","NES","Total","2012","2012",0,,
"5212","5212 Recurrent taxes paid by others: motor vehicles","NES","Total","2013","2013",0,,
"5212","5212 Recurrent taxes paid by others: motor vehicles","NES","Total","2014","2014",0,,
"5212","5212 Recurrent taxes paid by others: motor vehicles","NES","Total","2015","2015",0,,
"5212","5212 Recurrent taxes paid by others: motor vehicles","NES","Total","2016","2016",0,,
"5212","5212 Recurrent taxes paid by others: motor vehicles","NES","Total","2017","2017",0,,
"5212","5212 Recurrent taxes paid by others: motor vehicles","NES","Total","2018","2018",0,,
"5121","5121 Excises","NES","Total","1996","1996",6935.734,,
"5121","5121 Excises","NES","Total","1997","1997",11637.121,,
"5121","5121 Excises","NES","Total","1998","1998",13804.791,,
"5121","5121 Excises","NES","Total","1999","1999",17932.317,,
"5121","5121 Excises","NES","Total","2000","2000",18848.615,,
"5121","5121 Excises","NES","Total","2001","2001",14232.21,,
"5121","5121 Excises","NES","Total","2002","2002",14422.383,,
"5121","5121 Excises","NES","Total","2003","2003",16240.112,,
"5121","5121 Excises","NES","Total","2004","2004",19507.24,,
"5121","5121 Excises","NES","Total","2005","2005",22613.536,,
"5121","5121 Excises","NES","Total","2006","2006",26670.222,,
"5121","5121 Excises","NES","Total","2007","2007",31928.233,,
"5121","5121 Excises","NES","Total","2008","2008",39183.916,,
"5121","5121 Excises","NES","Total","2009","2009",55077.74,,
"5121","5121 Excises","NES","Total","2010","2010",75235.553,,
"5121","5121 Excises","NES","Total","2011","2011",98005.404,,
"5121","5121 Excises","NES","Total","2012","2012",99071.065,,
"5121","5121 Excises","NES","Total","2013","2013",105303.523,,
"5121","5121 Excises","NES","Total","2014","2014",121220.19,,
"5121","5121 Excises","NES","Total","2015","2015",138260.742,,
"5121","5121 Excises","NES","Total","2016","2016",143700.776,,
"5121","5121 Excises","NES","Total","2017","2017",148561.45,,
"5121","5121 Excises","NES","Total","2018","2018",169237.381,,
"4110","4110 Households recurrent taxes on immovable property","FED","Federal or Central government","1996","1996",59.995,,
"4110","4110 Households recurrent taxes on immovable property","FED","Federal or Central government","1997","1997",48.118,,
"4110","4110 Households recurrent taxes on immovable property","FED","Federal or Central government","1998","1998",116.592,,
"4110","4110 Households recurrent taxes on immovable property","FED","Federal or Central government","1999","1999",140.602,,
"4110","4110 Households recurrent taxes on immovable property","FED","Federal or Central government","2000","2000",129.628,,
"4110","4110 Households recurrent taxes on immovable property","FED","Federal or Central government","2001","2001",148.209,,
"4110","4110 Households recurrent taxes on immovable property","FED","Federal or Central government","2002","2002",217.636,,
"4110","4110 Households recurrent taxes on immovable property","FED","Federal or Central government","2003","2003",11.836,,
"4110","4110 Households recurrent taxes on immovable property","FED","Federal or Central government","2004","2004",41.326,,
"4110","4110 Households recurrent taxes on immovable property","FED","Federal or Central government","2005","2005",41.95,,
"4110","4110 Households recurrent taxes on immovable property","FED","Federal or Central government","2006","2006",26.119,,
"4110","4110 Households recurrent taxes on immovable property","FED","Federal or Central government","2007","2007",26.845,,
"4110","4110 Households recurrent taxes on immovable property","FED","Federal or Central government","2008","2008",24.483,,
"4110","4110 Households recurrent taxes on immovable property","FED","Federal or Central government","2009","2009",77.721,,
"4110","4110 Households recurrent taxes on immovable property","FED","Federal or Central government","2010","2010",96.421,,
"4110","4110 Households recurrent taxes on immovable property","FED","Federal or Central government","2011","2011",69.368,,
"4110","4110 Households recurrent taxes on immovable property","FED","Federal or Central government","2012","2012",27.829,,
"4110","4110 Households recurrent taxes on immovable property","FED","Federal or Central government","2013","2013",18.012,,
"4110","4110 Households recurrent taxes on immovable property","FED","Federal or Central government","2014","2014",19.216,,
"4110","4110 Households recurrent taxes on immovable property","FED","Federal or Central government","2015","2015",631.845,,
"4110","4110 Households recurrent taxes on immovable property","FED","Federal or Central government","2016","2016",779.031,,
"4110","4110 Households recurrent taxes on immovable property","FED","Federal or Central government","2017","2017",1155.582,,
"4110","4110 Households recurrent taxes on immovable property","FED","Federal or Central government","2018","2018",1292.551,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","1996","1996",2004.4,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","1997","1997",4312.451,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","1998","1998",4014.095,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","1999","1999",5760.587,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2000","2000",6621.46,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2001","2001",7875.531,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2002","2002",10215.812,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2003","2003",15555.238,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2004","2004",20682.344,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2005","2005",24587.264,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2006","2006",35093.347,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2007","2007",48079.382,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2008","2008",63399.748,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2009","2009",81594.804,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2010","2010",102037.426,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2011","2011",124133.333,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2012","2012",157814.061,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2013","2013",182996.1,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2014","2014",193211.689,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2015","2015",224553,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2016","2016",253892.689,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2017","2017",278076.081,,
"1100","1100 Taxes on income, profits and capital gains of individuals","FED","Federal or Central government","2018","2018",312070.428,,
"2210","2210 On a payroll basis of employers SSC","NES","Total","1996","1996",764.383,,
"2210","2210 On a payroll basis of employers SSC","NES","Total","1997","1997",1195.7,,
"2210","2210 On a payroll basis of employers SSC","NES","Total","1998","1998",1544.222,,
"2210","2210 On a payroll basis of employers SSC","NES","Total","1999","1999",1826.315,,
"2210","2210 On a payroll basis of employers SSC","NES","Total","2000","2000",2137.706,,
"2210","2210 On a payroll basis of employers SSC","NES","Total","2001","2001",2375.099,,
"2210","2210 On a payroll basis of employers SSC","NES","Total","2002","2002",2683.089,,
"2210","2210 On a payroll basis of employers SSC","NES","Total","2003","2003",3657.055,,
"2210","2210 On a payroll basis of employers SSC","NES","Total","2004","2004",6745.894,,
"2210","2210 On a payroll basis of employers SSC","NES","Total","2005","2005",7488.381,,
"2210","2210 On a payroll basis of employers SSC","NES","Total","2006","2006",7128.052,,
"2210","2210 On a payroll basis of employers SSC","NES","Total","2007","2007",10378.173,,
"2210","2210 On a payroll basis of employers SSC","NES","Total","2008","2008",14527.877,,
"2210","2210 On a payroll basis of employers SSC","NES","Total","2009","2009",16085.878,,
"2210","2210 On a payroll basis of employers SSC","NES","Total","2010","2010",17643.88,,
"2210","2210 On a payroll basis of employers SSC","NES","Total","2011","2011",22268.776,,
"2210","2210 On a payroll basis of employers SSC","NES","Total","2012","2012",26802.396,,
"2210","2210 On a payroll basis of employers SSC","NES","Total","2013","2013",33196.973,,
"2210","2210 On a payroll basis of employers SSC","NES","Total","2014","2014",34700.811,,
"2210","2210 On a payroll basis of employers SSC","NES","Total","2015","2015",37298.536,,
"2210","2210 On a payroll basis of employers SSC","NES","Total","2016","2016",46690.696,,
"2210","2210 On a payroll basis of employers SSC","NES","Total","2017","2017",46803.436,,
"2210","2210 On a payroll basis of employers SSC","NES","Total","2018","2018",52082.06,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","FED","Federal or Central government","1996","1996",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","FED","Federal or Central government","1997","1997",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","FED","Federal or Central government","1998","1998",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","FED","Federal or Central government","1999","1999",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","FED","Federal or Central government","2000","2000",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","FED","Federal or Central government","2001","2001",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","FED","Federal or Central government","2002","2002",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","FED","Federal or Central government","2003","2003",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","FED","Federal or Central government","2004","2004",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","FED","Federal or Central government","2005","2005",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","FED","Federal or Central government","2006","2006",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","FED","Federal or Central government","2007","2007",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","FED","Federal or Central government","2008","2008",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","FED","Federal or Central government","2009","2009",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","FED","Federal or Central government","2010","2010",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","FED","Federal or Central government","2011","2011",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","FED","Federal or Central government","2012","2012",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","FED","Federal or Central government","2013","2013",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","FED","Federal or Central government","2014","2014",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","FED","Federal or Central government","2015","2015",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","FED","Federal or Central government","2016","2016",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","FED","Federal or Central government","2017","2017",0,,
"5127","5127 Other taxes on internat. trade and transactions not included within 5121 to 5126 inclusive","FED","Federal or Central government","2018","2018",0,,
"NTR_A","Non-tax revenue: Grants","NES","Total","1996","1996",31400,,
"NTR_A","Non-tax revenue: Grants","NES","Total","1997","1997",37731,,
"NTR_A","Non-tax revenue: Grants","NES","Total","1998","1998",32966.641,,
